wavelength	counts
651.89856	295
652.02148	319
652.14447	307
652.2674	307
652.39032	311
652.51331	314
652.63623	312
652.75916	310
652.88208	315
653.005	326
653.12793	321
653.25092	310
653.37384	312
653.49677	305
653.61969	324
653.74261	309
653.86548	319
653.9884	309
654.11133	321
654.23425	309
654.35718	307
654.48004	305
654.60297	318
654.72589	293
654.84875	317
654.97168	311
655.0946	313
655.21747	321
655.34039	317
655.46326	312
655.58612	325
655.70905	315
655.83191	303
655.95477	315
656.0777	320
656.20056	303
656.32343	309
656.44629	297
656.56915	313
656.69208	325
656.81494	309
656.93781	304
657.06067	321
657.18353	306
657.30634	319
657.4292	319
657.55206	298
657.67493	321
657.79779	319
657.92059	325
658.04346	312
658.16632	313
658.28912	297
658.41199	302
658.53479	305
658.65765	289
658.78046	295
658.90332	315
659.02612	320
659.14899	316
659.27179	314
659.39459	306
659.5174	323
659.64026	317
659.76306	297
659.88586	320
660.00867	309
660.13147	324
660.25427	317
660.37708	312
660.49988	308
660.62268	315
660.74548	332
660.86829	316
660.99103	324
661.11383	305
661.23663	312
661.35944	319
661.48218	303
661.60498	301
661.72772	309
661.85052	310
661.97327	301
662.09607	322
662.21881	318
662.34161	320
662.46436	326
662.5871	309
662.7099	302
662.83264	308
662.95538	314
663.07812	301
663.20087	319
663.32361	306
663.44635	315
663.56909	305
663.69183	320
663.81458	307
663.93732	327
664.06006	303
664.1828	316
664.30548	305
664.42822	298
664.55096	311
664.67371	311
664.79639	322
664.91913	305
665.04181	330
665.16455	320
665.28723	318
665.40997	316
665.53265	306
665.65533	329
665.77808	312
665.90076	328
666.02344	308
666.14612	321
666.2688	319
666.39148	313
666.51416	318
666.63684	308
666.75952	309
666.8822	316
667.00488	317
667.12756	311
667.25024	306
667.37292	316
667.49554	313
667.61823	322
667.74091	308
667.86353	310
667.98621	304
668.10883	303
668.23151	310
668.35413	309
668.47681	305
668.59943	305
668.72211	313
668.84473	308
668.96735	319
669.08997	314
669.21259	314
669.33527	318
669.45789	312
669.58051	341
669.70312	313
669.82574	319
669.94836	316
670.07092	307
670.19354	327
670.31616	306
670.43878	311
670.5614	308
670.68396	306
670.80658	314
670.9292	302
671.05176	317
671.17438	305
671.29694	321
671.41949	300
671.54211	316
671.66467	333
671.78729	328
671.90985	309
672.03241	305
672.15497	304
672.27753	328
672.40009	312
672.52264	308
672.6452	299
672.76776	329
672.89032	310
673.01288	316
673.13544	326
673.258	302
673.38055	322
673.50305	308
673.62561	311
673.74817	306
673.87067	301
673.99323	319
674.11572	299
674.23828	313
674.36078	303
674.48334	309
674.60583	307
674.72833	314
674.85083	303
674.97339	301
675.09589	306
675.21838	310
675.34088	306
675.46338	308
675.58588	315
675.70837	309
675.83087	309
675.95337	306
676.07587	311
676.1983	320
676.3208	317
676.4433	310
676.56573	308
676.68823	308
676.81073	307
676.93317	314
677.05566	319
677.1781	317
677.30054	312
677.42303	301
677.54547	305
677.66791	328
677.79041	302
677.91284	328
678.03528	306
678.15771	323
678.28015	309
678.40259	319
678.52502	316
678.64746	302
678.7699	317
678.89227	322
679.01471	306
679.13715	310
679.25958	306
679.38196	302
679.50439	309
679.62677	306
679.74921	314
679.87158	317
679.99402	304
680.11639	322
680.23877	315
680.36121	304
680.48358	321
680.60596	319
680.72833	319
680.85071	297
680.97314	325
681.09552	316
681.21783	324
681.34021	321
681.46259	311
681.58496	318
681.70734	304
681.82971	320
681.95203	313
682.0744	311
682.19678	319
682.31909	309
682.44147	290
682.56378	304
682.68616	311
682.80847	310
682.93079	299
683.05316	311
683.17548	312
683.29779	301
683.4201	320
683.54242	311
683.66473	314
683.78705	311
683.90936	315
684.03168	294
684.15399	304
684.27631	298
684.39862	301
684.52087	324
684.64319	327
684.7655	319
684.88776	322
685.01007	309
685.13232	313
685.25464	302
685.37689	305
685.49921	308
685.62146	319
685.74371	306
685.86603	296
685.98828	308
686.11053	304
686.23279	321
686.35504	306
686.47729	311
686.59955	309
686.7218	307
686.84406	317
686.96625	296
687.0885	306
687.21075	317
687.33301	318
687.4552	302
687.57745	304
687.69965	320
687.8219	311
687.94409	304
688.06635	316
688.18854	309
688.31073	301
688.43292	306
688.55518	316
688.67737	292
688.79956	310
688.92175	314
689.04395	317
689.16614	312
689.28833	313
689.41052	322
689.53265	305
689.65485	312
689.77704	323
689.89923	313
690.02136	308
690.14355	306
690.26569	299
690.38788	294
690.51001	322
690.6322	302
690.75433	304
690.87646	296
690.9986	315
691.12079	306
691.24292	306
691.36505	313
691.48718	308
691.60931	309
691.73145	299
691.85358	297
691.97565	304
692.09778	319
692.21991	309
692.34204	301
692.46411	327
692.58624	320
692.70831	306
692.83044	307
692.95251	308
693.07465	322
693.19672	303
693.31879	320
693.44092	307
693.56299	310
693.68506	313
693.80713	321
693.9292	314
694.05127	313
694.17334	311
694.29541	309
694.41748	315
694.53955	292
694.66156	312
694.78363	313
694.9057	307
695.02771	307
695.14978	305
695.27179	310
695.39386	290
695.51587	329
695.63794	304
695.75995	313
695.88196	306
696.00397	312
696.12598	315
696.24805	289
696.37006	318
696.49207	304
696.61407	305
696.73602	315
696.85803	312
696.98004	299
697.10205	307
697.22406	316
697.34601	317
697.46802	298
697.58997	304
697.71198	312
697.83392	296
697.95593	289
698.07788	305
698.19983	303
698.32184	301
698.44379	303
698.56573	302
698.68768	286
698.80963	307
698.93158	294
699.05353	307
699.17548	320
699.29742	315
699.41931	312
699.54126	324
699.66321	305
699.7851	308
699.90704	309
700.02893	290
700.15088	304
700.27277	310
700.39471	284
700.5166	306
700.63849	305
700.76038	316
700.88232	297
701.00421	311
701.1261	295
701.24799	290
701.36987	307
701.49176	295
701.61359	303
701.73547	293
701.85736	292
701.97925	307
702.10107	313
702.22296	294
702.34479	313
702.46667	309
702.5885	307
702.71039	309
702.83221	295
702.95404	319
703.07587	313
703.19775	304
703.31958	303
703.44141	323
703.56323	304
703.68506	317
703.80682	306
703.92865	308
704.05048	302
704.1723	309
704.29413	313
704.41589	287
704.53772	314
704.65948	308
704.78131	310
704.90308	314
705.02484	319
705.14667	303
705.26843	304
705.3902	310
705.51196	304
705.63373	310
705.75549	312
705.87726	324
705.99902	302
706.12079	298
706.24255	307
706.36432	286
706.48602	313
706.60779	324
706.72955	312
706.85126	292
706.97302	313
707.09473	308
707.21649	323
707.3382	311
707.4599	305
707.5816	297
707.70337	324
707.82507	318
707.94678	305
708.06848	289
708.19019	296
708.31189	309
708.43353	293
708.55524	300
708.67694	306
708.79865	297
708.92029	318
709.04199	298
709.16364	300
709.28534	306
709.40698	302
709.52863	308
709.65033	311
709.77197	310
709.89362	310
710.01526	316
710.1369	300
710.25854	313
710.38019	304
710.50183	306
710.62347	308
710.74512	297
710.86676	315
710.98834	297
711.10999	308
711.23157	292
711.35321	306
711.47479	312
711.59644	307
711.71802	308
711.8396	311
711.96124	317
712.08282	298
712.20441	306
712.32599	311
712.44757	306
712.56915	313
712.69073	318
712.81232	310
712.93384	307
713.05542	302
713.177	302
713.29852	300
713.4201	308
713.54163	306
713.66321	304
713.78473	310
713.90631	323
714.02783	307
714.14935	294
714.27087	316
714.3924	316
714.51392	326
714.63544	316
714.75696	294
714.87848	305
715	296
715.12152	309
715.24298	313
715.3645	322
715.48602	305
715.60748	333
715.729	318
715.85046	311
715.97192	307
716.09344	311
716.2149	306
716.33636	303
716.45782	311
716.57928	305
716.70074	299
716.8222	299
716.94366	308
717.06512	298
717.18658	297
717.30798	306
717.42944	313
717.5509	305
717.6723	308
717.79376	295
717.91516	298
718.03662	305
718.15802	308
718.27942	312
718.40082	313
718.52222	290
718.64368	301
718.76508	301
718.88641	297
719.00781	303
719.12921	302
719.25061	303
719.37201	297
719.49335	322
719.61475	308
719.73615	317
719.85748	299
719.97882	316
720.10022	310
720.22156	307
720.3429	312
720.46429	304
720.58563	315
720.70697	294
720.82831	307
720.94965	302
721.07098	302
721.19226	296
721.3136	305
721.43494	294
721.55627	312
721.67755	306
721.79889	305
721.92017	310
722.0415	321
722.16278	312
722.28406	297
722.4054	309
722.52667	316
722.64795	313
722.76923	303
722.8905	300
723.01178	303
723.13306	288
723.25433	304
723.37555	289
723.49683	313
723.6181	301
723.73932	294
723.8606	300
723.98181	318
724.10309	309
724.2243	315
724.34552	301
724.46674	315
724.58801	304
724.70923	302
724.83044	317
724.95166	294
725.07288	308
725.19403	304
725.31525	301
725.43646	299
725.55768	316
725.67883	289
725.80005	289
725.9212	287
726.04242	313
726.16357	303
726.28473	298
726.40594	292
726.5271	291
726.64825	308
726.76941	298
726.89056	295
727.01172	300
727.13287	302
727.25403	305
727.37512	304
727.49628	324
727.61743	297
727.73853	291
727.85968	309
727.98077	318
728.10187	295
728.22302	303
728.34412	304
728.46521	305
728.5863	311
728.7074	302
728.82849	311
728.94958	304
729.07068	309
729.19177	309
729.31287	296
729.4339	298
729.55499	313
729.67609	307
729.79712	301
729.91821	322
730.03925	305
730.16028	302
730.28137	301
730.4024	297
730.52344	311
730.64447	301
730.7655	311
730.88654	298
731.00757	310
731.1286	290
731.24957	309
731.37061	308
731.49164	307
731.61261	292
731.73364	303
731.85461	313
731.97559	300
732.09662	303
732.21759	295
732.33856	311
732.45953	306
732.58051	302
732.70148	305
732.82245	311
732.94342	304
733.06439	309
733.18536	296
733.30627	307
733.42725	311
733.54816	314
733.66913	305
733.79004	307
733.91101	297
734.03192	299
734.15283	298
734.27374	310
734.39465	316
734.51556	301
734.63647	304
734.75739	296
734.8783	290
734.99921	304
735.12012	317
735.24097	307
735.36188	298
735.48273	304
735.60364	300
735.72449	311
735.8454	296
735.96625	309
736.0871	298
736.20795	297
736.3288	323
736.44965	313
736.5705	303
736.69135	314
736.81219	312
736.93298	298
737.05383	292
737.17468	307
737.29547	318
737.41632	307
737.53711	316
737.6579	309
737.77875	295
737.89954	298
738.02032	295
738.14111	299
738.2619	311
738.38269	300
738.50348	303
738.62427	301
738.74506	301
738.86578	297
738.98657	307
739.1073	304
739.22809	311
739.34882	318
739.4696	295
739.59033	300
739.71106	317
739.83179	301
739.95251	304
740.07324	301
740.19397	287
740.3147	301
740.43542	309
740.55615	292
740.67688	303
740.79755	317
740.91827	309
741.03894	307
741.15967	297
741.28033	306
741.401	303
741.52173	312
741.6424	294
741.76306	300
741.88373	298
742.00439	294
742.12506	311
742.24573	300
742.36633	294
742.487	298
742.60767	289
742.72827	310
742.84894	296
742.96954	308
743.09015	300
743.21082	299
743.33142	308
743.45203	318
743.57263	290
743.69324	295
743.81384	312
743.93445	310
744.05505	289
744.17566	299
744.2962	300
744.41681	302
744.53735	296
744.65796	292
744.7785	300
744.89911	301
745.01965	295
745.1402	290
745.26074	303
745.38129	296
745.50183	306
745.62238	308
745.74292	309
745.86346	311
745.98395	290
746.10449	278
746.22504	304
